用例ID,优先级,端,屏幕方向,前置条件,操作步骤,预期结果,证据
"DEPENDENCY-001","P0","Mac和APP","全部","主 MOD 有两个可用、兼容且哈希合法的硬依赖","点击安装（含 2 个必要依赖）；等待任务结束","单个根 task_id 按底层到上层安装完整闭包，主 MOD 最后；三项均校验成功；主 MOD 默认启用","依赖解析结果；task_id；包锁日志；文件清单；LocalModRecord"
"DEPENDENCY-002","P0","Mac和APP","全部","主 MOD 的一个硬依赖分别配置为缺失、来源失效、本端不兼容","每种配置各进入详情并尝试安装","三轮均不创建根任务且主 MOD 不下载；显示对应最短阻塞原因链；目录错误映射为 DEPENDENCY_UNRESOLVED 或 PLATFORM_INCOMPATIBLE","页面录屏；ApiError；最短 dependency_chain；任务列表；网络日志"
"DEPENDENCY-003","P1","Mac和APP","全部","主 MOD 存在软冲突或 compatibility_status = unknown","点击安装；检查风险内容；先取消一轮，再确认继续一轮","取消轮不创建任务且状态不变；确认轮才创建任务并允许安装；风险原因分别为 SOFT_CONFLICT 或 COMPATIBILITY_UNKNOWN","风险弹层录屏；任务列表；mods_install_click；mods_install_result"
"DEPENDENCY-SAMEHASH-001","P0","Mac和APP","全部","根任务 A、B 共享依赖 D；约束存在共同版本并在取锁前统一解析为同一 H1","用并发屏障同时启动 A、B；观察 D 下载和提交；等待两个根任务结束","D 只有一个 package_task_id 和一个包锁；root_task_references 去重后为 2 且 reference_count = 2；H1 只下载提交一次；A、B 各自继续成功","两个根 task_id；依赖解析；PackageLockRecord；引用计数时间线；网络请求和提交计数"
"DEPENDENCY-REF-CANCEL-001","P0","Mac和APP","全部","A、B 正共享同哈希依赖 D；reference_count = 2；D 尚未提交","取消根任务 A；继续观察 B 与 D","A 只释放自己的引用且清理独占文件；reference_count 从 2 变 1；D 与 B 继续且 B task_id 不变；不重复下载 D","引用计数时间线；两个根任务日志；staging 差异；D 网络请求计数"
"DEPENDENCY-SHARED-FAIL-001","P0","Mac和APP","全部","A、B 正共享同哈希依赖 D；两个根均持有引用","给 D 注入 PACKAGE_HASH_MISMATCH","共享包任务只失败一次；A、B 收到相同失败码和依赖链；两个主 MOD 均不安装；旧版指针不变","共享包任务日志；两个根终态；failure_reason；文件清单与指针前后快照"
"DEPENDENCY-DIFFHASH-COMMITTED-001","P0","Mac和APP","全部","A 需要依赖 D 的 H1；B 需要 H2；H1 != H2 且不存在共同版本","让 A 先取得锁；并发启动 B；让 A 完成 H1 与根任务提交；观察 B 重新解析","锁中只运行 H1；B 等待时不加入 H1 引用；A 提交后 B 返回 DEPENDENCY_VERSION_CONFLICT 并为 dependency_blocked；H2 下载和提交计数均为 0；H1 指针及 A 启用值不变","依赖约束；锁时间线；B queued 记录；H1 提交；B 错误码；H2 网络计数；指针快照"
"DEPENDENCY-DIFFHASH-UNCOMMITTED-001","P0","Mac和APP","全部","A 需要 H1；B 需要 H2；H1 != H2；可在 H1 提交前取消或失败 A","执行两轮并发：第一轮提交前取消 A；第二轮提交前让 A 失败；每轮观察 B 锁交接","两轮中 B 均先 queued 且不加入 H1 引用；确认 H1 未提交后 B 才取得锁并重查门禁与空间；最终只提交 H2；无 H1 指针、双活动版本或双成功结果","两轮任务时间线；H1 未提交证明；锁交接；空间快照；最终指针；活动版本计数"
"STATE-001","P0","Mac和APP","全部","目标 MOD 已安装并启用；update_fact = update_available；无活动任务","依次查看游戏详情入口、MODS 列表、MOD 详情、已安装页和启动检查","五处安装事实、启用值、更新事实、版本和仅此设备文案一致，均读取同一 LocalModRecord；更新事实不覆盖启用值","五处录屏；LocalModRecord；状态源读取日志"
"SOURCE-UNKNOWN-001","P0","Mac和APP","全部","已安装版本可启动；有一条仅展示用历史检查摘要；来源检查将失败","刷新更新状态；检查按钮；尝试启动本地版；点击重新检查并分别注入成功与再次失败","首次失败后 update_fact = source_unknown；只显示更新状态未知和不可执行历史摘要；不显示更新且不使用缓存地址创建任务；启停、启动、卸载可用；检查成功只转 no_update 或 update_available，再次失败仍 source_unknown","来源请求；LocalModRecord 时间线；按钮矩阵录屏；下载请求计数；启动清单；游戏日志"
"ROTATE-001","P0","APP","运行中竖屏切横屏再切竖屏","目标 MOD 未安装；网络限速；任务可停留在下载 20%、60%、verifying 和 installing","点击一次安装；在四个注入点分别旋转并返回同一卡片","全程 task_id 不变且下载字节不倒退；目录、详情和下载不因旋转重发；只有一个安装提交和一个终态","方向与字节时间线；task_id；目录、详情、下载请求计数；安装提交日志"
"ROTATE-002","P1","APP","竖屏和横屏","打开长内容详情；选中第二张预览图并滚动到更新记录","旋转到横屏再旋回竖屏","mod_id、预览项、阅读章节和滚动锚点保持；详情接口不重发；布局按方向切换","页面录屏；页面状态快照；详情请求计数"
"ROTATE-003","P1","APP","竖屏和横屏","已安装页设置页签、搜索词、排序、筛选并滚动到稳定锚点","旋转到另一方向","页签、搜索词、排序、筛选和列表位置保持；只重排一列或两列布局；不请求第一页","页面录屏；页面状态快照；目录请求日志"
"BACKGROUND-001","P0","APP","任意","下载到 30%；事务日志已落盘；存在有效 resume_token；测试桩可触发系统暂停","记录 task_id 和字节；进入后台触发暂停；返回前台并恢复网络","任务进入 paused_by_system；回前台只自动续传一次；复用原 task_id、有效字节和 staging；不创建第二个下载或安装任务","生命周期日志；任务时间线；resume_token 哈希；字节时间线；自动续传次数；重复任务计数"
"BACKGROUND-002","P0","APP","任意","任务为 paused_by_system；测试桩让回前台唯一一次自动续传失败","回前台；检查状态；点击继续；另起一轮点击取消","自动续传失败后仍 paused_by_system 并显示原因、继续、取消；继续复用原 task_id 和断点；取消释放根引用并只清理独占 staging","生命周期日志；task_id；断点；按钮录屏；引用计数；staging 差异"
"PROCESS-001","P0","APP","任意","任务状态 queued 且事务日志已落盘","强制结束 APP；重启并观察恢复","先取得包锁并重查门禁、available_capacity_bytes 和锁；条件满足后以原 task_id 开始；恢复完成前不创建新任务","进程日志；InstallTransactionLog；包锁；空间快照；task_id；重复任务计数"
"PROCESS-002","P0","APP","任意","任务下载到 30% 或为 paused_by_system；事务日志、临时文件长度和 resume_token 已落盘","强制结束 APP；分别用一致断点和损坏断点重启两轮","一致轮以原 task_id 和有效字节续传；损坏轮删除损坏片段并仍以原 task_id 从 0 下载；两轮均无新任务","两轮事务日志；resume_token；临时文件长度；字节时间线；网络 Range；重复任务计数"
"PROCESS-003","P0","APP","任意","完整包存在；任务状态 verifying；事务日志已落盘","强制结束 APP；重启","以原 task_id 从头重跑 package_hash 校验；不重新下载；包缺失的独立注入轮只进入 failed","事务日志；哈希校验日志；下载请求计数；task_id；失败轮错误记录"
"PROCESS-004","P0","APP","任意","任务 installing；新指针未切换；已验证 staging 可复用","强制结束 APP；重启","删除未完成的新版本目录；复用已验证 staging 从安装阶段重跑；旧指针不变；不重新下载或新建任务","事务日志；目录差异；staging 哈希；指针前后值；下载请求计数；task_id"
"PROCESS-005","P0","APP","任意","任务 installing；new_pointer_switched = true 且 local_record_committed = false","强制结束 APP；分别准备新目录合法和哈希非法两轮重启","合法轮补交本地记录；非法轮恢复旧指针并 failed；两轮均绑定原 task_id 且恢复完成前不创建新任务","事务日志；新目录哈希；指针时间线；本地记录；task_id；重复任务计数"
"NETWORK-001","P0","Mac和APP","全部","下载到 30%；使用虚拟时钟；测试桩让初始请求与三次自动重试均失败","记录各次重试时刻并等待最终状态","依次在 2 秒、5 秒、10 秒后重试 1、2、3；第三次失败只产生一次 DOWNLOAD_INTERRUPTED；任务为可续传 failed 且停止自动重试","虚拟时钟日志；网络请求时间；retry_count；mods_download_result；任务终态"
"UPDATE-001","P0","Mac和APP","全部","旧版已安装；新包版本或 package_hash 不同；三阶段空间充足","点击更新；在提交前核对旧版；等待原子切换完成","新包验证和切换前旧指针、旧文件清单与旧启用值持续有效；成功后才切 active_version_pointer；保留最近成功版为回退版；新版继承最近启用值","更新时间线；新旧目录；指针；文件清单；LocalModRecord；mods_update_result"
"UPDATE-002","P0","Mac和APP","全部","旧版已启用且经 ActualLoadEvidence 证明可加载；新包声明错误 package_hash","点击更新；等待校验失败；随后启动 DST","返回 PACKAGE_HASH_MISMATCH；新指针不提交；旧版指针、文件清单、enabled 和 update_available 不变；旧版仍在实际加载清单并有 loaded_match","更新日志；指针与文件清单；LocalModRecord；resolved_launch_manifest；原始游戏日志；ActualLoadEvidence"
"UPDATE-ENABLE-001","P0","Mac和APP","全部","旧版已启用；更新任务可停在 queued、downloading、paused_by_system、verifying、installing","每个阶段点击常驻停用再启用；最后保持停用并让更新成功","五个阶段的旧版启停控件均可用且不取消更新；启用值独立持久化；新版提交后继承最后的 disabled，不恢复任务创建时快照","五轮页面录屏；mods_enable_change；任务时间线；新版本 LocalModRecord"
"UPDATE-DEVICE-001","P0","Mac到APP和APP到Mac","全部","同一 mod_id 在两个设备各有独立旧版记录；只给一端提供用户点击更新","分别执行 Mac 单端更新和 APP 单端更新两轮；每轮核对另一端","仅操作端改变版本指针和 update_fact；另一端版本、启用值和任务列表不变且不自动下载","两端 LocalModRecord 前后快照；两端网络日志；更新任务；指针"
"UNINSTALL-001","P0","Mac和APP","全部","MOD A 已启用且 MOD B 硬依赖 A；存档与用户 MOD 配置已取哈希","卸载 A；查看影响清单；确认；执行下一次启动检查","确认页列出 B 并显示仅此设备；只卸载本机 A 受控程序文件；B 不自动卸载或停用且下次为 skipped；存档和配置不变","确认页录屏；LocalModRecord；受控目录差异；启动清单；存档与配置哈希"
"UNINSTALL-DEVICE-001","P0","Mac到APP和APP到Mac","全部","同一 MOD 在 Mac 与 APP 均独立安装；两端 device_installation_id 不同","只在 Mac 卸载并核对 APP；恢复后只在 APP 卸载并核对 Mac","每轮只删除操作端受控程序文件与本地事实；另一端安装版本、启用值、文件和任务均不变","两端本地记录；两端目录前后清单；两端页面录屏"
"PREFLIGHT-001","P0","Mac和APP","全部","当前设备有两个文件完整、兼容且硬依赖闭包完整的 enabled MOD","点击启动 DST","resolved_launch_manifest 两项均为 effective + load，记录 mod_id、local_version、package_hash、load_order 和 device_installation_id；按钮为启动游戏","ResolvedLaunchManifest；LocalModRecord；客户端预检查日志"
"PREFLIGHT-002","P0","Mac和APP","全部","一个完整 MOD 与一个本地文件损坏 MOD 均 enabled","点击启动；查看跳过原因并确认继续","损坏项为 skipped + skip 且 reason_code = LOCAL_FILE_MISSING；完整项仍 effective + load；游戏可启动；启用值不变","启动检查录屏；ResolvedLaunchManifest；文件校验日志；LocalModRecord；游戏启动日志"
"PREFLIGHT-003","P0","Mac和APP","全部","一个软冲突或兼容未知 MOD 已 enabled","点击启动；先取消风险一轮，再点击仍要启动一轮","清单项为 risk；取消轮不启动且不改安装或启用；确认轮 risk_confirmed = true 且 load_decision = load","两轮启动检查录屏；ResolvedLaunchManifest；LocalModRecord；启动日志"
"LOG-001","P0","Mac和APP","全部","两端清单各至少一个 load_decision = load 项；已实际启动 DST","收集两端游戏或引擎原始日志；按 manifest_id、launch_id、device_installation_id、mod_id、local_version 解析","两端 parse_status = parsed；每个计划加载项都有版本一致的 ActualLoadEvidence.items[].result = loaded_match；无 unexpected_loaded；文件复制或安装状态不作为证据","两端原始游戏日志及哈希；解析器版本；ResolvedLaunchManifest；ActualLoadEvidence"
"LOG-MISSING-001","P0","Mac和APP","全部","清单至少一个 load 项；分别让日志不可读、解析失败、缺少 mod_id、版本不一致","四轮完成日志核对","四轮均返回 LOG_EVIDENCE_MISSING；对应结果为 log_unreadable、parser_failed、missing 或 version_mismatch；不计实际生效且保留原始日志路径与解析结果","四轮原始日志；ActualLoadEvidence；错误码；实际生效指标明细"
"RECOVERY-001","P0","Mac和APP","全部","存在最近一次成功且全部 loaded_match 的清单；本次新安装、重新启用、版本或依赖变化后异常退出","重新进入启动；查看恢复建议；关闭页面；另做一轮无清单变化异常退出","只在清单变化轮显示停用本次变化后重试、无 MOD 启动、保持当前设置继续尝试三项；默认不执行；关闭不改状态；无变化轮不归因给 MOD","最近成功清单；变化清单；异常退出日志；恢复页录屏；LocalModRecord 前后哈希"
"RECOVERY-NOMOD-001","P0","Mac和APP","全部","已进入恢复建议；当前安装和启用集合已取快照","选择无 MOD 启动","生成 items = [] 的新清单并成功启动；本地安装和 enabled_value 不变；mods_recovery_action 使用 launch_without_mods；关联启动 manifest_mod_count = 0","恢复动作日志；空清单；LocalModRecord 前后快照；mods_recovery_action；mods_launch_result；游戏日志"
"BASELINE-001","P0","Mac和APP","全部","当前设备没有 enabled MOD；基础 DST 可启动","两端分别点击启动 DST","不增加确认页；各生成 items = [] 的 resolved_launch_manifest；基础游戏成功启动；不修改安装或启用事实；不计入恢复场景无 MOD 指标","两端启动录屏；空清单；游戏启动日志；LocalModRecord；mods_launch_result"
"SPACE-DOWNLOAD-001","P0","Mac和APP","全部","闭包三项空间元数据合法；当前版、回退版、其他 MOD 和已落盘共享文件存在","下载前把 OS available_capacity_bytes 注入为待下载压缩量 + 待写解包量 + 剩余额外 staging 峰值 + safety_margin 少 1 字节；点击安装","在 space_check_download 返回 STORAGE_INSUFFICIENT 且不下载；公式不重复加减当前版、回退版、其他 MOD 或已落盘共享文件；本地事实不变","SpaceCheckSnapshot；OS 原始可用字节；逐包元数据；网络请求计数；目录与指针前后快照"
"SPACE-UNPACK-001","P0","Mac和APP","全部","闭包包已完整下载；存在独占 staging、共享引用、当前版和回退版","解包前把 OS available_capacity_bytes 注入为待写解包量 + 剩余额外 staging 峰值 + safety_margin 少 1 字节；触发复查","在 space_check_unpack 返回 STORAGE_INSUFFICIENT；已下载压缩包不重复计入；只清理独占 staging；引用仍大于 0 的共享文件、当前版、回退版、指针和启用值保留","SpaceCheckSnapshot；OS 可用字节；staging 差异；引用计数；指针和 LocalModRecord"
"SPACE-COMMIT-001","P0","Mac和APP","全部","新版本目录已写入但未提交；旧指针与最近启用值有效","提交前把 OS available_capacity_bytes 注入为 16 MiB + 512 MiB 少 1 字节；触发复查","在 space_check_commit 返回 STORAGE_INSUFFICIENT；required_new_bytes 固定 16 MiB；删除独占 staging 和未提交新版本目录；旧版、回退版、共享文件、指针和最近启用值保留","SpaceCheckSnapshot；OS 可用字节；事务日志；目录差异；指针；LocalModRecord"
"PATH-TRAVERSAL-001","P0","Mac和APP","全部","受控目录外、存档和配置已取基线；分别准备绝对路径、盘符路径、包含 .. 和规范化越界的四个包","逐包执行安装到路径安全检查结束","四轮均以 ARCHIVE_PATH_ESCAPE 拒绝且不写新版本目录；独占 staging 清理；受控目录外、存档、配置和旧版均不变","四个包文件表；规范化日志；错误码；目录差异；存档、配置与旧版哈希"
"PATH-SYMLINK-001","P0","Mac和APP","全部","受控目录外、存档和配置已取基线；包内含指向目标目录外的符号链接","执行安装到路径安全检查结束","以 ARCHIVE_PATH_ESCAPE 拒绝；不跟随、不创建符号链接；受控目录外无变化；独占 staging 清理；旧版与用户文件不变","包文件表；链接目标；安全日志；错误码；目录和文件哈希前后对比"
"PATH-HARDLINK-001","P0","Mac和APP","全部","受控目录外、存档和配置已取基线；包内含硬链接条目","执行安装到路径安全检查结束","以 ARCHIVE_PATH_ESCAPE 拒绝；不创建硬链接；受控目录外无变化；独占 staging 清理；旧版与用户文件不变","包文件表；硬链接元数据；安全日志；错误码；目录和文件哈希前后对比"
"SAFETY-001","P0","Mac和APP","全部","准备可校验的 DST 存档和用户 MOD 配置；目标 MOD 可更新、取消、卸载和执行恢复建议","记录基线哈希；依次执行更新失败、下载取消、卸载、无 MOD 恢复；再次计算哈希","DST 存档和用户 MOD 配置均未删除、覆盖、移动或损坏；只变化受控 MOD 程序和允许的受控元数据","每步前后文件清单与 SHA-256；客户端文件操作日志；受控根目录清单"
"PACKAGE-OFFICIAL-001","P0","APP 国内官方包","竖屏、横屏、运行中旋转","安装冻结的 official 包；记录 channel_package = official、client_build 和 device_installation_id","完成入口、列表、详情、安装、旋转、启动检查和实际加载核对","核心链路全部通过；埋点 channel_package = official；任务无重复；ActualLoadEvidence 为 loaded_match；该包证据不由其他包替代","包签名和构建元数据；全链路录屏；任务日志；事件 payload；原始游戏日志；ActualLoadEvidence"
"PACKAGE-CHANNEL-001","P0","APP 国内代表渠道包","竖屏、横屏、运行中旋转","按最近 30 日活跃设备占比选定并冻结一个真实国内代表渠道包；不能使用调试包","在实际渠道设备完成入口、列表、详情、安装、旋转、后台、启动检查和实际加载核对","核心链路全部通过；channel_package 为实际渠道标识且与构建元数据一致；无重复任务；loaded_match；不得用 official 结果代替","渠道选择冻结记录；包签名；构建元数据；全链路录屏；任务与游戏日志；ActualLoadEvidence"
"PACKAGE-GLOBAL-001","P0","APP 海外 Global 包","竖屏、横屏、运行中旋转","安装冻结 Global 包；记录 channel_package = Global、client_build 和 device_installation_id","完成入口、安装、旋转、后台、启动检查、恢复和实际加载核对","Global 核心链路独立通过；channel_package = Global；无重复任务；loaded_match；不得用国内包或 GooglePlay 结果代替","包签名和构建元数据；全链路录屏；任务日志；恢复记录；原始游戏日志；ActualLoadEvidence"
"PACKAGE-GOOGLEPLAY-001","P0","APP 海外 GooglePlay 包","竖屏、横屏、运行中旋转","安装冻结 GooglePlay 包；记录 channel_package = GooglePlay、client_build 和 device_installation_id","完成入口、安装、旋转、后台、启动检查、恢复和实际加载核对","GooglePlay 核心链路独立通过；channel_package = GooglePlay；无重复任务；loaded_match；不得用国内包或 Global 结果代替","包签名和构建元数据；全链路录屏；任务日志；恢复记录；原始游戏日志；ActualLoadEvidence"
"LANGUAGE-001","P0","APP 海外包","竖屏和横屏","Global 或 GooglePlay 目标构建可切换 zh-CN、en-US、ja-JP、ru-RU、pt-BR；同一合法 MOD 可安装","五种语言各独立执行入口、列表、详情、安装、启动检查和一次 STORAGE_INSUFFICIENT 错误提示核对","五轮均无截断导致的不可操作；本地化字段跟随语言，来源无译文时显示原文；错误码一致；每轮事件 language 为实际 BCP 47；每种语言有独立证据","五种语言独立录屏；页面文本快照；错误日志；事件 payload；构建和设备记录"
"ANALYTICS-IDEMPOTENCY-001","P0","APP","运行中旋转和进程恢复","已开启 11 个事件采集；任务和页面状态可重建；网络上报可重试","执行一次安装并在下载中旋转、进入后台、结束进程和恢复；随后触发事件重传","旋转、自动重试、后台恢复、进程恢复和上报重传均复用 event_id、view_session_id、operation_id、task_id；每个业务去重键只有一条合法记录；无重复任务样本","原始事件队列；服务端明细；业务去重查询；任务时间线；重复任务指标明细"
"ANALYTICS-LOAD-001","P0","Mac和APP","全部","两端均有 effective 清单项并完成真实游戏日志采集","关联 ResolvedLaunchManifest、ActualLoadEvidence、mods_preflight_result 和 mods_launch_result","实际生效分子只纳入 parse_status = parsed 且 result = loaded_match 的同 manifest_id、launch_id、device_installation_id、mod_id、local_version 项；安装成功或 effective 不能补分子","清单；原始日志；ActualLoadEvidence；埋点明细；实际生效指标验收查询"
